,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
215,happiness,02F_HA_C100_cell22rand_a.jpg,22,100,02F_HA_C100_cell22rand_b.jpg,f,right,53,02F_HA_C100_cell22rand_a.jpg
216,fear,28M_FE_C100_cell22rand_a.jpg,22,100,28M_FE_C100_cell22rand_b.jpg,m,right,54,28M_FE_C100_cell22rand_a.jpg
217,happiness,04F_HA_C100_cell22rand_a.jpg,22,100,04F_HA_C100_cell22rand_a.jpg,f,left,54,04F_HA_C100_cell22rand_b.jpg
218,happiness,27M_HA_C100_cell22rand_a.jpg,22,100,27M_HA_C100_cell22rand_b.jpg,m,right,54,27M_HA_C100_cell22rand_a.jpg
219,happiness,08F_HA_C100_cell22rand_a.jpg,22,100,08F_HA_C100_cell22rand_b.jpg,f,right,54,08F_HA_C100_cell22rand_a.jpg
220,happiness,25M_HA_C100_cell22rand_a.jpg,22,100,25M_HA_C100_cell22rand_b.jpg,m,right,55,25M_HA_C100_cell22rand_a.jpg
221,fear,05F_FE_C100_cell22rand_a.jpg,22,100,05F_FE_C100_cell22rand_b.jpg,f,right,55,05F_FE_C100_cell22rand_a.jpg
222,fear,06F_FE_C100_cell22rand_a.jpg,22,100,06F_FE_C100_cell22rand_a.jpg,f,left,55,06F_FE_C100_cell22rand_b.jpg
223,fear,27M_FE_C100_cell22rand_a.jpg,22,100,27M_FE_C100_cell22rand_a.jpg,m,left,55,27M_FE_C100_cell22rand_b.jpg
224,happiness,06F_HA_C100_cell26rand_a.jpg,26,100,06F_HA_C100_cell26rand_a.jpg,f,left,56,06F_HA_C100_cell26rand_b.jpg
225,happiness,22M_HA_C100_cell26rand_a.jpg,26,100,22M_HA_C100_cell26rand_a.jpg,m,left,56,22M_HA_C100_cell26rand_b.jpg
226,happiness,03F_HA_C100_cell26rand_a.jpg,26,100,03F_HA_C100_cell26rand_b.jpg,f,right,56,03F_HA_C100_cell26rand_a.jpg
227,happiness,25M_HA_C100_cell26rand_a.jpg,26,100,25M_HA_C100_cell26rand_a.jpg,m,left,56,25M_HA_C100_cell26rand_b.jpg
228,fear,21M_FE_C100_cell26rand_a.jpg,26,100,21M_FE_C100_cell26rand_a.jpg,m,left,57,21M_FE_C100_cell26rand_b.jpg
229,happiness,27M_HA_C100_cell26rand_a.jpg,26,100,27M_HA_C100_cell26rand_b.jpg,m,right,57,27M_HA_C100_cell26rand_a.jpg
230,fear,04F_FE_C100_cell26rand_a.jpg,26,100,04F_FE_C100_cell26rand_a.jpg,f,left,57,04F_FE_C100_cell26rand_b.jpg
231,happiness,01F_HA_C100_cell26rand_a.jpg,26,100,01F_HA_C100_cell26rand_a.jpg,f,left,57,01F_HA_C100_cell26rand_b.jpg
232,fear,02F_FE_C100_cell26rand_a.jpg,26,100,02F_FE_C100_cell26rand_a.jpg,f,left,58,02F_FE_C100_cell26rand_b.jpg
233,fear,01F_FE_C100_cell26rand_a.jpg,26,100,01F_FE_C100_cell26rand_a.jpg,f,left,58,01F_FE_C100_cell26rand_b.jpg
234,fear,24M_FE_C100_cell26rand_a.jpg,26,100,24M_FE_C100_cell26rand_a.jpg,m,left,58,24M_FE_C100_cell26rand_b.jpg
235,fear,26M_FE_C100_cell26rand_a.jpg,26,100,26M_FE_C100_cell26rand_b.jpg,m,right,58,26M_FE_C100_cell26rand_a.jpg
236,happiness,26M_HA_C100_cell26rand_a.jpg,26,100,26M_HA_C100_cell26rand_a.jpg,m,left,59,26M_HA_C100_cell26rand_b.jpg
237,fear,08F_FE_C100_cell26rand_a.jpg,26,100,08F_FE_C100_cell26rand_b.jpg,f,right,59,08F_FE_C100_cell26rand_a.jpg
238,fear,06F_FE_C100_cell26rand_a.jpg,26,100,06F_FE_C100_cell26rand_b.jpg,f,right,59,06F_FE_C100_cell26rand_a.jpg
239,happiness,21M_HA_C100_cell26rand_a.jpg,26,100,21M_HA_C100_cell26rand_a.jpg,m,left,59,21M_HA_C100_cell26rand_b.jpg
240,happiness,05F_HA_C100_cell26rand_a.jpg,26,100,05F_HA_C100_cell26rand_a.jpg,f,left,60,05F_HA_C100_cell26rand_b.jpg
241,happiness,23M_HA_C100_cell26rand_a.jpg,26,100,23M_HA_C100_cell26rand_b.jpg,m,right,60,23M_HA_C100_cell26rand_a.jpg
242,happiness,04F_HA_C100_cell26rand_a.jpg,26,100,04F_HA_C100_cell26rand_a.jpg,f,left,60,04F_HA_C100_cell26rand_b.jpg
243,happiness,24M_HA_C100_cell26rand_a.jpg,26,100,24M_HA_C100_cell26rand_b.jpg,m,right,60,24M_HA_C100_cell26rand_a.jpg
244,fear,07F_FE_C100_cell26rand_a.jpg,26,100,07F_FE_C100_cell26rand_b.jpg,f,right,61,07F_FE_C100_cell26rand_a.jpg
245,fear,25M_FE_C100_cell26rand_a.jpg,26,100,25M_FE_C100_cell26rand_a.jpg,m,left,61,25M_FE_C100_cell26rand_b.jpg
246,fear,23M_FE_C100_cell26rand_a.jpg,26,100,23M_FE_C100_cell26rand_b.jpg,m,right,61,23M_FE_C100_cell26rand_a.jpg
247,fear,27M_FE_C100_cell26rand_a.jpg,26,100,27M_FE_C100_cell26rand_a.jpg,m,left,61,27M_FE_C100_cell26rand_b.jpg
248,happiness,08F_HA_C100_cell26rand_a.jpg,26,100,08F_HA_C100_cell26rand_b.jpg,f,right,62,08F_HA_C100_cell26rand_a.jpg
249,fear,28M_FE_C100_cell26rand_a.jpg,26,100,28M_FE_C100_cell26rand_b.jpg,m,right,62,28M_FE_C100_cell26rand_a.jpg
250,happiness,28M_HA_C100_cell26rand_a.jpg,26,100,28M_HA_C100_cell26rand_b.jpg,m,right,62,28M_HA_C100_cell26rand_a.jpg
251,fear,03F_FE_C100_cell26rand_a.jpg,26,100,03F_FE_C100_cell26rand_b.jpg,f,right,62,03F_FE_C100_cell26rand_a.jpg
252,happiness,07F_HA_C100_cell26rand_a.jpg,26,100,07F_HA_C100_cell26rand_b.jpg,f,right,63,07F_HA_C100_cell26rand_a.jpg
253,happiness,02F_HA_C100_cell26rand_a.jpg,26,100,02F_HA_C100_cell26rand_b.jpg,f,right,63,02F_HA_C100_cell26rand_a.jpg
254,fear,05F_FE_C100_cell26rand_a.jpg,26,100,05F_FE_C100_cell26rand_a.jpg,f,left,63,05F_FE_C100_cell26rand_b.jpg
255,fear,22M_FE_C100_cell26rand_a.jpg,26,100,22M_FE_C100_cell26rand_b.jpg,m,right,63,22M_FE_C100_cell26rand_a.jpg
